3,2451235.3,39.7,39.7,detected by radial velocity,,,eps CrB,239.3958,26.8778,4.14,,,,,67.9,-0.094,1.7,21.0,K2III,1.74,4406.0
eps Eridani b,1.55,0.24,0.24,,,,2502.0,10.0,10.0,3.39,0.36,0.36,0.702,0.039,0.039,1.059375,30.1,3.8,3.8,,,,,,,,,,,,,,,,,1,2000,2012-09-07,47.0,3.0,3.0,54207.0,7.0,7.0,detected by radial velocity,,,eps Eridani,53.2291667,-9.4580556,3.73,,,,,3.2,-0.13,0.83,0.895,K2 V,0.66,5116.0
eps Tau b,7.6,0.2,0.2,,,,594.9,5.3,5.3,1.93,0.03,0.03,0.151,0.023,0.023,0.042889,,,,,,,,,,,,,,,,,,,,1,2007,2007-02-07,94.4,7.4,7.4,2879.0,12.0,12.0,detected by radial velocity,,,eps Tau,67.1541667,19.1805556,3.53,,,,,45.0,0.17,2.7,13.7,K0 III,0.625,4901.0
eta Cet b,2.55,0.13,0.13,,,,403.5,1.5,1.5,1.27,,,0.13,0.05,0.05,,,,,,,,,,,,,,,,,,,,,1,2014,2014-08-04,250.6,20.5,20.5,,,,detected by radial velocity,,,eta Cet,17.145833345,-10.182222238,3.45,,,,,38.0,0.12,1.7,14.3,K1III,,4528.0
eta Cet c,3.32,0.18,0.18,,,,751.9,3.8,3.8,1.93,,,0.1,0.06,0.06,,,,,,,,,,,,,,,,,,,,,1,2014,2014-07-04,67.54,5.2,5.2,,,,detected by radial velocity,,,eta Cet,17.145833345,-10.182222238,3.45,,,,,38.0,0.12,1.7,14.3,K1III,,4528.0
gamma 1 Leo b,8.78,1.0,1.0,,,,428.5,1.25,1.25,1.19,0.02,0.02,0.144,0.046,0.046,0.030909,172.1,99.0,99.0,,,,,,,,,,,,,,,,,1,2009,2011-01-11,206.7,9.2,9.2,2451236.0,13.5,13.5,detected by radial velocity,,,gamma 1 Leo,154.9916667,19.8413889,2.01,,,,,38.5,-0.51,1.23,31.88,K0III,,4330.0
gamma Cephei b,1.85,0.06,0.06,,,,903.3,1.5,1.5,2.05,0.06,0.06,0.049,0.034,0.034,0.148658,9.6,5.9,5.9,,,,,,,,,,,,,,,,,1,2003,2014-07-10,94.6,34.6,34.6,53147.0,71.0,71.0,detected by radial velocity,,,gamma Cephei,354.8333333,77.6322222,3.22,,,,,13.79,0.18,1.4,4.9,K1III-IV,6.6,4800.0
kappa And b,12.8,1.0,2.0,,,,,,,55.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,1900.0,,,1,2012,2014-05-22,,,,,,,detected by imaging,,,kappa And,355.1042,44.3339,4.14,0.2,4.6,,,51.6,-0.32,2.45,,B9IV,0.03,10700.0
kappa CrB b,1.6,,,,,,1251.0,15.0,15.0,2.6,,,0.19,0.1,0.1,0.086817,,,,,,,,,,,,,,,,,,,,1,2007,2012-09-01,34.0,40.0,40.0,2451860.0,180.0,180.0,detected by radial velocity,,,kappa CrB,237.8083333,35.6575,4.79,,3.04,2.04,2.42,31.1,0.14,1.51,5.0,K1IVa,2.5,4960.0
ksi Aql b,2.8,,,,,,136.75,0.25,0.25,0.68,,,0.0,,,0.010845,,,,,,,,,,,,,,,,,,,,1,2008,2008-02-20,,,,3001.7,1.4,1.4,detected by radial velocity,,,ksi Aql,298.5625,8.4613889,4.72,,2.85,2.37,2.17,62.7,-0.205,2.2,12.0,G9IIIb,,4780.0
mu Ara b,1.676,,,,,,643.25,0.9,0.9,1.5,0.02,0.02,0.128,0.017,0.017,0.098039,,,,,,,,,,,,,,,,,,,,1,2000,2009-04-02,22.0,7.0,7.0,2452365.6,12.6,12.6,detected by radial velocity,,,mu Ara,266.0333333,-51.8338889,5.15,,,,,15.3,0.28,1.08,1.245,G3 IV-V,6.41,5700.0
